label,m4l,pT_max,eta_diff
signal,126.71249735910646,39.592427873740505,0.4836679060443779
signal,123.8346225537271,46.39087758018834,0.5368286061147564
signal,121.12075571246218,45.152573821625396,0.3547311331922015
signal,125.022279534359,46.164444441152185,0.1265636200737192
signal,125.32891516479418,59.364067861129705,0.6054118128712136
signal,124.34949046245663,64.99805128536974,0.466469120985462
signal,121.75516672322547,35.905582826783764,0.6614021484922589
signal,123.34371156629359,48.90150132094482,0.399792411731765
signal,121.94759542945641,50.84552841977384,0.6143444983421877
signal,121.58158639714237,30.21073008856832,0.7863830094129037
signal,124.4396837818998,42.92694877935172,0.6429909197055185
signal,125.35845741963654,64.38418021368436,0.35026690952513867
signal,123.6287916707231,51.05066193584814,0.5682331266063861
signal,123.31353171988813,48.65538319415515,0.217422377413092
signal,127.21541858452863,68.88054562471339,0.8552258065935523
signal,125.67709379305087,50.14544558799556,0.5477677282075379
signal,125.99569337214568,37.944967865050685,0.37253105884640597
signal,125.19576565340344,38.42319686418211,0.5054034729658848
signal,123.78781327651582,40.546711036709404,0.7470674528083631
signal,122.20198372250263,58.34588973427754,0.5381906540845756
signal,126.79393038019712,52.81802360049406,0.539176994329776
signal,121.30321259126396,39.80421988970841,0.6449899246932311
signal,125.34746912128534,57.216574596078196,0.46392104405924045
signal,127.1679587448941,58.30779963360075,0.5086994168506701
signal,125.61178568971594,39.291553010837305,0.4949222233514617
signal,125.05772688355076,51.660431605390144,0.11756128371079384
signal,130.8170764695439,32.88225086784198,0.5112164580372343
signal,121.51701904571335,56.430756672145556,0.383191519304457
signal,127.11085556717963,51.54316707401317,0.6496766693987536
signal,125.0036925007679,51.00854946868061,0.1071185714683095
signal,126.45786590429762,39.861335549436326,0.0756335195473112
signal,125.69985727671676,36.80681749210853,0.5844952456409129
signal,124.91676955745812,47.62634608459827,0.8588011554753483
signal,126.47969784673491,48.531893845237235,0.2579183487158399
signal,125.53145326463367,52.468897425270775,0.5581945338563757
signal,124.52492758548794,31.87914153469928,0.42183003010226167
signal,123.0198367421049,55.22550345098581,0.37947467836995097
signal,124.08253133532753,36.025328168116694,0.45367463991683193
signal,125.84846333179571,40.78527523335888,0.4043127596234174
signal,124.58031661924343,24.67650374182064,0.9703285805235565
signal,122.88189167759647,38.66111304730092,0.6551223789913091
signal,126.55337348358609,55.274215347694756,0.3048545920754312
signal,125.99297272205943,48.60163697108229,0.4958899231234418
signal,126.61657281174,57.12400959795641,0.7724306709669252
signal,120.45599481961136,43.00881208779501,0.4953889194577835
signal,124.85681387405388,25.532363800687758,0.5670124070502346
signal,124.10128771126993,46.64154565925467,0.3304462630743215
signal,126.19536117918284,57.07698766996355,0.33424104110767305
signal,125.34638697203151,51.515428733540446,0.7506700139788849
signal,125.75997261465197,32.134506670084434,0.6421043963471054
